!\EXCLAMATION-POINT	%Ekskl@"meIS@n%pOInt
"CLOSE-QUOTE	"kloUz"kwoUt
ABBREVIATES	@"bri:vi:%eIts
ABBREVIATING	@"bri:vi:%eItIN
ABBREVIATION	@%bri:vi:"eIS@n
ABBREVIATIONS	@%bri:vi:"eIS@nz
ABBRUZZESE	A:bru:t"seIzi
ABBS	"{bz
ABBY	"{bi
ABC	"eI%bi:%si:
ABC'S	"eI%bi:%si:z
ABCO	"{bkoU
ABCOTEK	"{bkoU%tEk
ABCS	"eI%bi:%si:z
ABDALLA	%{b"d{l@
ABDALLAH	%{b"d{l@
ABDEL	"{b%dEl
ABDELLA	%{b"dEl@
ABDICATE	"{bd@%keIt
ABDICATED	"{bd@%keIt@d
ABDICATES	"{bd@%keIts
ABDICATING	"{bdI%keItIN
ABDICATION	%{bdI"keIS@n
ABDNOR	"{bdnE`
ABDO	"{bdoU
ABDOLLAH	%{b"dA:l@
ABDOMEN	{b"doUm@n, "{bd@m@n
ABDOMINAL	{b"dA:m@n@l, @b"dA:m@n@l
ABDUCT	{b"dVkt
ABDUCTED	{b"dVktId, @b"dVktId
ABDUCTEE	{b%d@k"ti:
ABDUCTEES	{b%d@k"ti:z
ABDUCTING	{b"dVktIN, @b"dVktIN
ABDUCTION	{b"dVkS@n, @b"dVkS@n
ABDUCTIONS	{b"dVkS@nz, @b"dVkS@nz
ABDUCTOR	{b"dVktE`, @b"dVktE`
ABDUCTORS	{b"dVktE`z, @b"dVktE`z
ABDUCTS	{b"dVkts
ABDUL	{b"du:l
ABDULAZIZ	{b%du:l@"zi:z
ABDULLA	A:b"du:l@
ABDULLAH	%{b"dVl@
ABE	"eIb
ABED	@"bEd
ABEDI	@"bEdi
ABEE	@"bi:
ABEL	"eIb@l
ABELA	A:"bEl@
ABELARD	"{bIlE`d
ABELE	@"bEl
ABELES	@"bElz, "eIb@%li:z
ABELL	"eIb@l
ABELLA	@"bEl@
ABELN	"{bIln
ABELOW	"{b@loU
ABELS	"eIb@lz
ABELSON	"{bIls@n
ABEND	"{bEnd, @"bEnd
ABENDROTH	"{bIndrOT
ABER	"eIbE`
ABERCROMBIE	%{bE`"krA:mbi
ABERDEEN	"{bE`%di:n
ABERFORD	"eIbE`fE`d
ABERG	"{bE`g
ABERLE	"{bE`@l, "{bE`l
ABERMIN	"{bE`mIn
ABERNATHY	"{bE`%n{Ti
ABERNETHY	"{bE`%nETi
ABERRANT	{"bEr@nt
ABERRATION	%{bE`"eIS@n
ABERRATIONAL	%{bE`"eIS@n@l
ABERRATIONS	%{bE`"eIS@nz
ABERT	"{bE`t
ABET	@"bEt
ABETTED	@"bEtId
ABETTING	@"bEtIN
ABEX	"eIbEks
ABEYANCE	@"beI@ns
ABEYTA	A:"beIt@
ABHOR	{b"hOr
ABHORRED	@b"hOrd
ABHORRENCE	@b"hOr@ns
ABHORRENT	{b"hOr@nt
ABHORS	@b"hOrz
ABIAM	"eIbi:@m
ABIAM'S	"eIbi:@mz
ABID	"eIbId
ABIDE	@"baId
ABIDED	@"baIdId
ABIDES	@"baIdz
ABIDING	@"baIdIN
ABIDJAN	{bI"dZA:n
ABIE	"{bi
ABIGAIL	"{b@%geIl
ABILA	A:"bi:l@
ABILENE	"{bI%li:n
ABILITIES	@"bIl@%ti:z
ABILITY	@"bIl@%ti:
ABIMAEL	%{bI"meIl
ABIMAELS	%{bI"meIlz
ABINGDON	"{bINd@n
ABINGTON	"{bINt@n
ABIO	"A:bi:oU
ABIOLA	%A:bi:"oUl@
ABIOLA'S	%A:bi:"oUl@z
ABIOMED	eI"bi:@mEd
ABIQUIU	@"bIkju:
ABITIBI	%{bI"ti:bi
ABITZ	"{bIts
ABJECT	"{bdZEkt
ABKHAZIA	{b"kA:zj@, {b"k{zj@
ABKHAZIAN	{b"kA:zi:@n, {b"k{zi:@n, {b"kA:zj@n, {b"k{zj@n
ABKHAZIANS	{b"kA:zi:@nz, {b"k{zi:@nz
ABLAZE	@"bleIz
ABLE	"eIb@l
ABLE-BODIED	"eIb@l"bA:di:d
ABLED	"eIb@ld
ABLER	"eIb@lE`, "eIblE`
ABLES	"eIb@lz
ABLEST	"eIb@lst, "eIbl@st
ABLOOM	@"blu:m
ABLY	"eIbli
ABNEGATION	%{bnE"geIS@n
ABNER	"{bnE`
ABNEY	"{bni
ABNORMAL	{b"nOrm@l
ABNORMALITIES	%{bnOr"m{l@ti:z
ABNORMALITY	%{bnOr"m{l@ti
ABNORMALLY	{b"nOrm@li
ABO	"A:boU
ABO'S	"A:boUz
ABOARD	@"bOrd
ABODE	@"boUd
ABOHALIMA	{b@h@"li:m@
ABOLISH	@"bA:lIS
ABOLISHED	@"bA:lISt
ABOLISHES	@"bA:lISIz
ABOLISHING	@"bA:lISIN
ABOLITION	%{b@"lIS@n
ABOLITIONISM	%{b@"lIS@%nIz@m
ABOLITIONIST	%{b@"lIS@n@st
ABOLITIONISTS	%{b@"lIS@n@sts, %{b@"lIS@n@s
ABOMINABLE	@"bA:m@n@b@l
ABOMINATION	@%bA:m@"neIS@n
ABOMINATIONS	@%bA:m@"neIS@nz
ABOOD	@"bu:d
ABOODI	@"bu:di
ABOR	@"bOr
ABORIGINAL	%{bE`"IdZ@n@l
ABORIGINE	%{bE`"IdZ@ni
ABORIGINES	%{bE`"IdZ@ni:z
ABORN	@"bOrn
ABORT	@"bOrt
ABORTED	@"bOrtId
ABORTIFACIENT	@%bOrt@"feIS@nt
ABORTIFACIENTS	@%bOrt@"feIS@nts
ABORTING	@"bOrtIN
ABORTION	@"bOrS@n
ABORTIONIST	@"bOrS@nIst
ABORTIONISTS	@"bOrS@nIsts, @"bOrS@nIs
ABORTIONS	@"bOrS@nz
ABORTIVE	@"bOrtIv
ABORTS	@"bOrts
ABOTT	@"bA:t
ABOU	@"bu:
ABOUD	A:"bu:d
ABOUHALIMA	%A:bu:hA:"li:m@
ABOUHALIMA'S	%A:bu:hA:"li:m@z
ABOUND	@"baUnd
ABOUNDED	@"baUndId
ABOUNDING	@"baUndIN
ABOUNDS	@"baUndz
ABOUT	@"baUt
ABOUT'S	@"baUts
ABOVE	@"bVv
ABOVE'S	@"bVvz
ABOVEBOARD	@"bVv%bOrd
ABPLANALP	"{bpl@n{lp
ABRA	"A:br@
ABRACADABRA	%{br@k@"d{br@
ABRAHAM	"eIbr@%h{m
ABRAHAMIAN	%{br@"heImi:@n
ABRAHAMS	"eIbr@%h{mz
ABRAHAMSEN	{br@"h{ms@n
ABRAHAMSON	@"br{h@ms@n
ABRAM	@"br{m
ABRAM'S	"eIbr@mz
ABRAMCZYK	"A:br@mtSIk
ABRAMO	A:"brA:moU
ABRAMOVITZ	@"brA:m@vIts
ABRAMOWICZ	@"brA:m@vItS
ABRAMOWITZ	@"brA:m@wIts
ABRAMS	"eIbr@mz
ABRAMS'S	"eIbr@mzIz
ABRAMSON	"eIbr@ms@n
ABRASION	@"breIZ@n
ABRASIONS	@"breIZ@nz
ABRASIVE	@"breIsIv
ABRASIVES	@"breIsIvz
ABRAXA	@"br{ks@
ABRAXA'S	@"br{ks@z
ABRAXAS	@"br{ks@z
ABREAST	@"brEst
ABREGO	A:"brEgoU
ABREU	@"bru:
ABRIDGE	@"brIdZ
ABRIDGED	@"brIdZd
ABRIDGEMENT	@"brIdZm@nt
ABRIDGES	@"brIdZ@z
ABRIDGING	@"brIdZIN
ABRIL	@"brIl
ABROAD	@"brOd
ABROGATE	"{br@%geIt
ABROGATED	"{br@%geItId
ABROGATING	"{br@%geItIN
ABROGATION	%{br@"geIS@n
ABROL	@"broUl
ABRON	@"brA:n
ABRUPT	@"brVpt
ABRUPTLY	@"brVptli
ABRUPTNESS	@"brVptn@s
ABRUTYN	"eIbru:tIn
ABRUZZESE	A:bru:t"seIzi
ABRUZZO	A:"bru:zoU
ABS	"eI"bi:"Es, "{bz
ABSALOM	"{bs@l@m
ABSARAKA	{b"sA:r@k@
ABSCAM	"{bsk{m
ABSCESS	"{b%sEs
ABSCOND	{b"skA:nd
ABSCONDED	{b"skA:nd@d
ABSCONDING	{b"skA:ndIN
ABSCONDS	{b"skA:ndz
ABSECON	"{bs@kOn
ABSENCE	"{bs@ns
ABSENCES	"{bs@nsIz
ABSENT	"{bs@nt
ABSENTEE	%{bs@n"ti:
ABSENTEEISM	%{bs@n"ti:Iz@m
ABSENTEES	%{bs@n"ti:z
ABSENTIA	{b"sEnS@
ABSHER	"{bSE`
ABSHIER	"{bSi:E`
ABSHIRE	"{b%SaIr
ABSINTHE	"{bsInT
ABSO	"{bsoU
ABSOLOM	"{bs@l@m
ABSOLUT	%{bs@"lu:t
ABSOLUT'S	%{bs@"lu:ts
ABSOLUTE	"{bs@%lu:t
ABSOLUTELY	%{bs@"lu:tli
ABSOLUTENESS	"{bs@%lu:tn@s
ABSOLUTES	"{bs@%lu:ts
ABSOLUTION	%{bs@"lu:S@n
ABSOLUTISM	"{bs@%lu:%tIz@m
ABSOLUTIST	{bs@"lu:tIst
ABSOLVE	@b"zA:lv, {b"zA:lv
ABSOLVED	@b"zA:lvd, {b"zA:lvd
ABSOLVES	@b"zA:lvz, {b"zA:lvz
ABSOLVING	@b"zA:lvIN, {b"zA:lvIN
ABSORB	@b"zOrb
ABSORBED	@b"zOrbd
ABSORBENCY	@b"zOrb@nsi
ABSORBENT	@b"zOrb@nt
ABSORBER	@b"zOrbE`
ABSORBERS	@b"zOrbE`z
ABSORBING	@b"zOrbIN
ABSORBS	@b"zOrbz
ABSORPTION	@b"zOrpS@n, @b"sOrpS@n
ABSTAIN	@b"steIn, {b"steIn
ABSTAINED	@b"steInd, {b"steInd
ABSTAINING	@b"steInIN, {b"steInIN
ABSTENTION	@b"stEntS@n, {b"stEntS@n
ABSTENTIONS	@b"stEntS@nz, {b"stEntS@nz
ABSTINENCE	"{bst@n@ns
ABSTINENT	"{bst@n@nt
ABSTON	"{bst@n
ABSTRACT	{b"str{kt, "{b%str{kt
ABSTRACTED	"{b%str{ktId
ABSTRACTION	{b"str{kS@n
ABSTRACTIONS	{b"str{kS@nz
ABSTRACTS	"{bstr{kts
ABSTRUSE	@b"stru:s
ABSURD	@b"sE`:d
ABSURDIST	@b"sE`:dIst
ABSURDITIES	@b"sE`:d@ti:z
ABSURDITY	@b"sE`:d@ti
ABSURDLY	@b"sE`:dli
ABT	"{bt, "eI"bi:"ti:
ABTS	"{bts, "eI"bi:"ti:z, "eI"bi:"ti:"Es
ABU	"{bu:
ABUDRAHM	@"bVdr@m
ABUELLAH	@b"wEl@
ABUELLAH'S	@b"wEl@z
ABULADZE	%{bju:"l{dzi
ABUNDANCE	@"bVnd@ns
ABUNDANT	@"bVnd@nt
ABUNDANTLY	@"bVnd@ntli
ABURTO	@"bUr%toU
ABURTO'S	@"bUr%toUz
ABUSE	@"bju:s, @"bju:z
ABUSED	@"bju:zd
ABUSER	@"bju:zE`
ABUSERS	@"bju:zE`z
ABUSES	@"bju:sIz, @"bju:zIz
ABUSING	@"bju:zIN
ABUSIVE	@"bju:sIv
ABUT	@"bVt
ABUTS	@"bVts
ABUTTED	@"bVt@d
ABUTTING	@"bVtIN
ABUZZ	@"bVz
ABYSMAL	@"bIzm@l
ABYSMALLY	@"bIzm@li
ABYSS	@"bIs
ABYSSINIA	{b"sI%ni:@
ABYSSINIAN	{b"sI%ni:@n
ABZUG	"{b%z@g, "{b%zUg
AC	"eI"si:
ACA	"{k@
ACACIA	@"keIS@
ACADEME	"{k@%di:m
ACADEMIA	%{k@"di:mi:@
ACADEMIC	%{k@"dEmIk
ACADEMICALLY	%{k@"dEmIkli
ACADEMICIAN	%{k@d@"mIS@n
ACADEMICIANS	%{k@d@"mIS@nz, @%k{d@"mIS@nz
ACADEMICS	%{k@"dEmIks
ACADEMIES	@"k{d@mi:z
ACADEMY	@"k{d@mi
ACADEMY'S	@"k{d@mi:z
ACADIA	@"keIdi:@
ACAMPO	@"kA:mpoU
ACAMPORA	@"k{mpE`@
ACAMPSIA	@"k{mpsj@
ACANTHA	A:"kA:nD@
ACAPULCO	%{k@"pUlkoU
ACARY	"{kE`i
ACCARDI	A:"kA:rdi
ACCARDO	A:"kA:rdoU
ACCEDE	{k"si:d
ACCEDED	{k"si:dId
ACCEDES	{k"si:dz
ACCEDING	{k"si:dIN
ACCEL	@k"sEl
ACCELERANT	{k"sElE`@nt
ACCELERANTS	{k"sElE`@nts
ACCELERATE	{k"sElE`%eIt
ACCELERATED	{k"sElE`%eItId
ACCELERATES	{k"sElE`%eIts
ACCELERATING	{k"sElE`%eItIN
ACCELERATION	%{k%sElE`"eIS@n
ACCELERATOR	{k"sElE`%eItE`
ACCELERATORS	{k"sElE`%eItE`z
ACCELEROMETER	{k%sElE`"A:m@tE`
ACCELEROMETERS	{k%sElE`"A:m@tE`z
ACCENT	@k"sEnt, "{k%sEnt
ACCENTED	"{ksEntId
ACCENTING	"{ksEntIN
ACCENTS	"{ksEnts
ACCENTUATE	{k"sEntSu:eIt
ACCENTUATED	{k"sEntSu:%eItId
ACCENTUATES	{k"sEntSu:%eIts
ACCENTUATING	{k"sEntSu:%eItIN
ACCEPT	{k"sEpt, @k"sEpt
ACCEPTABILITY	@k%sEpt@"bIl@ti
ACCEPTABLE	{k"sEpt@b@l, @k"sEpt@b@l
ACCEPTABLY	{k"sEpt@bli, @k"sEpt@bli
ACCEPTANCE	{k"sEpt@ns, @k"sEpt@ns
ACCEPTANCES	{k"sEpt@nsIz
ACCEPTED	{k"sEptId
ACCEPTING	{k"sEptIN, @k"sEptIN
ACCEPTS	{k"sEpts
ACCESS	"{k%sEs
ACCESSED	"{k%sEst
ACCESSIBILITY	%{ksEs@"bIlIti
ACCESSIBLE	{k"sEs@b@l
ACCESSING	"{k%sEsIN
ACCESSION	@k"sES@n
ACCESSORIES	{k"sEsE`i:z
ACCESSORIZE	{k"sEsE`%aIz
ACCESSORIZED	{k"sEsE`%aIzd
ACCESSORY	{k"sEsE`i
ACCETTA	A:"tSEt@
ACCIDENT	"{ks@d@nt
ACCIDENT'S	"{ks@d@nts
ACCIDENTAL	%{ks@"dEnt@l, %{ks@"dEn@l
ACCIDENTALLY	%{ks@"dEnt@li, %{ks@"dEn@li
ACCIDENTLY	"{ks@d@ntli
ACCIDENTS	"{ks@d@nts
ACCION	"{tSi:@n
ACCIVAL	"{sI%vA:l
ACCLAIM	@"kleIm
ACCLAIM'S	@"kleImz
ACCLAIMED	@"kleImd
ACCLAIMING	@"kleImIN
ACCLAIMS	@"kleImz
ACCLAMATION	%{kl@"meIS@n
ACCLIMATE	"{kl@%meIt
ACCLIMATED	"{kl@%meItId
ACCLIMATION	%{kl@"meIS@n
ACCO	"{koU
ACCOKEEK	"{koUki:k
ACCOLA	A:"koUl@
ACCOLADE	"{k@%leId
ACCOLADES	"{k@%leIdz
ACCOMANDO	A:koU"mA:ndoU
ACCOMMODATE	@"kA:m@%deIt
ACCOMMODATED	@"kA:m@%deIt@d
ACCOMMODATES	@"kA:m@%deIts
ACCOMMODATING	@"kA:m@%deItIN
ACCOMMODATION	@%kA:m@"deIS@n
ACCOMMODATIONS	@%kA:m@"deIS@nz
ACCOMMODATIVE	@"kA:m@%deItIv
ACCOMPANIED	@"kVmp@ni:d
ACCOMPANIES	@"kVmp@ni:z
ACCOMPANIMENT	@"kVmpnIm@nt, @"kVmpni:m@nt
ACCOMPANIMENTS	@"kVmpnIm@nts, @"kVmpni:m@nts
ACCOMPANIST	@"kVmp@n@st
ACCOMPANY	@"kVmp@ni
ACCOMPANYING	@"kVmp@ni:IN
ACCOMPLI	%A:"kA:mpli, @"kA:mpli
ACCOMPLICE	@"kA:mpl@s
ACCOMPLICES	@"kA:mpl@s@z
ACCOMPLISH	@"kA:mplIS
ACCOMPLISHED	@"kA:mplISt
ACCOMPLISHES	@"kA:mplISIz
ACCOMPLISHING	@"kA:mplISIN
ACCOMPLISHMENT	@"kA:mplISm@nt
ACCOMPLISHMENTS	@"kA:mplISm@nts
ACCOR	"{%kOr
ACCOR'S	"{kE`z
ACCORD	@"kOrd
ACCORD'S	@"kOrdz
ACCORDANCE	@"kOrd@ns
ACCORDED	@"kOrdId
ACCORDING	@"kOrdIN
ACCORDINGLY	@"kOrdINli
ACCORDION	@"kOrdi:@n
ACCORDIONS	@"kOrdi:@nz
ACCORDS	@"kOrdz
ACCOST	@"kOst
ACCOSTED	@"kA:st@d
ACCOSTING	@"kA:stIN
ACCOUNT	@"kaUnt
ACCOUNT'S	@"kaUnts
ACCOUNTABILITY	@"kaUnt@%bIlIti
ACCOUNTABLE	@"kaUnt@b@l
ACCOUNTANCY	@"kaUnt@nt%si:
ACCOUNTANT	@"kaUnt@nt
ACCOUNTANT'S	@"kaUnt@nts
ACCOUNTANTS	@"kaUnt@nts
ACCOUNTANTS'	@"kaUnt@nts
ACCOUNTED	@"kaUntId
ACCOUNTEMP	@"kaUn%tEmp
ACCOUNTEMPS	@"kaUn%tEmps
ACCOUNTING	@"kaUntIN, @"kaUnIN
ACCOUNTS	@"kaUnts
ACCOUTERMENT	@"ku:tE`m@nt
ACCOUTERMENTS	@"ku:tE`m@nts
ACCOUTREMENT	@"ku:tE`m@nt
ACCOUTREMENTS	@"ku:tE`m@nts
ACCRA	"A:%krA:
ACCREDIT	@"krE%dIt
ACCREDITATION	@%krEd@"teIS@n
ACCREDITATIONS	@%krEd@"teIS@nz
ACCREDITED	@"krEdItId
ACCREDITING	@"krEd@tIN
ACCRETED	@"kri:tId
ACCRETION	@"kri:S@n
ACCRUAL	@"kru:@l
ACCRUALS	@"kru:@lz
ACCRUE	@"kru:
ACCRUED	@"kru:d
ACCRUES	@"kru:z
ACCRUING	@"kru:IN
ACCU	"{kju:
ACCUHEALTH	"{kju:%hElT
ACCUMULATE	@"kju:mj@%leIt
ACCUMULATED	@"kju:mj@%leItId
ACCUMULATES	@"kju:mj@%leIts
ACCUMULATING	@"kju:mj@%leItIN
ACCUMULATION	@%kju:mj@"leIS@n
ACCUMULATIONS	@%kju:mj@"leIS@nz
ACCUMULATIVE	@"kju:mj@%leItIv
ACCUMULATIVELY	@"kju:mj@%leItIvli, @"kju:mj@l@%tIvli
ACCUMULATOR	@"kju:mj@%leItE`
ACCUMULATORS	@"kju:mj@%leItE`z
ACCURACIES	"{kjE`@si:z
ACCURACY	"{kjE`@si
ACCURATE	"{kjE`@t
ACCURATELY	"{kjE`@tli
ACCURAY	"{kjE`%eI
ACCURAY'S	"{kjE`%eIz
ACCURIDE	"{kjE`%aId
ACCURSO	A:"kUrsoU
ACCUSATION	%{kj@"zeIS@n, %{kju:"zeIS@n
ACCUSATIONS	%{kj@"zeIS@nz, %{kju:"zeIS@nz
ACCUSATIVE	@"kju:z@tIv
ACCUSATORY	@"kju:z@%tOri
ACCUSE	@"kju:z
ACCUSED	@"kju:zd
ACCUSER	@"kju:zE`
ACCUSERS	@"kju:zE`z
ACCUSES	@"kju:zIz
ACCUSING	@"kju:zIN
ACCUSINGLY	@"kju:zINli
ACCUSTOM	@"kVst@m
ACCUSTOMED	@"kVst@md
ACCUTANE	"{kju:%teIn
ACE	"eIs
ACECOMM	"eIskA:m
ACED	"eIst
ACER	"eIsE`
ACERBIC	@"sErbIk
ACERO	@"sEroU, @s"jEroU, @"TEroU
ACERRA	@"sEr@
ACES	"eIsIz
ACETAMINOPHEN	@%si:t@"mIn@f@n
ACETATE	"{s@%teIt
ACETIC	@"sEtIk, @"si:tIk
ACETO	A:"sEtoU
ACETOCHLOR	A:"sEtoU%klOr
ACETONE	"{s@%toUn
ACETOSYRINGONE	@%sEtoU"sIrINgOn
ACETYLCHOLINE	@%sEt@l"koUli:n, @%si:t@l"koUli:n
ACETYLENE	@"sEt@%li:n
ACEVEDO	{s@"veIdoU
ACEVES	A:"seIvEs
ACEY	"eIsi
ACHAEAN	@"tSi:@n
ACHATZ	"{k@ts
ACHE	"eIk
ACHEBE	A:"tSeIbi
ACHED	"eIkt
ACHEE	@"tSi:
ACHENBACH	"{kInbA:k
ACHENBAUM	"{k@n%baUm
ACHES	"eIks
ACHESON	"{tS@s@n
ACHESON'S	"{tS@s@nz
ACHESONS	"{tS@s@nz
ACHEY	"{tSi
ACHIEVA	@"tSi:v@
ACHIEVABLE	@"tSi:v@b@l
ACHIEVE	@"tSi:v
ACHIEVED	@"tSi:vd
ACHIEVEMENT	@"tSi:vm@nt
ACHIEVEMENTS	@"tSi:vm@nts
ACHIEVER	@"tSi:vE`
ACHIEVERS	@"tSi:vE`z
ACHIEVES	@"tSi:vz
ACHIEVING	@"tSi:vIN
ACHILLE	@"kIli
ACHILLES	@"kIli:z
ACHILLES'	@"kIli:z
ACHING	"eIkIN
ACHINGLY	"eIkINli
ACHMED	"A:hmEd
ACHOA	@"tSoU@
ACHOA'S	@"tSoU@z
ACHOO	%A:"tSu:
ACHOR	"eIkE`
ACHORD	"{kOrd
ACHORN	"{kE`n
ACHTENBERG	"{ktEnbE`g
ACHTERBERG	"{ktE`bE`g
ACHY	"eIki
ACID	"{s@d
ACIDIC	@"sIdIk
ACIDIFICATION	@%sId@f@"keIS@n
ACIDIFIED	@"sId@%faId
ACIDIFIES	@"sId@%faIz
ACIDIFY	@"sId@%faI
ACIDITY	@"sId@ti
ACIDLY	"{s@dli
ACIDOSIS	%{s@"doUs@s
ACIDS	"{s@dz
ACIDURIA	%{s@"dUri:@
ACIERNO	A:"sIrnoU
ACK	"{k
ACKER	"{kE`
ACKER'S	"{kE`z
ACKERLEY	"{kE`li
ACKERLY	"{kE`li
ACKERMAN	"{kE`m@n
ACKERMANN	"{kE`m@n
ACKERMANVILLE	"{kE`m@nvIl
ACKERSON	"{kE`s@n
ACKERT	"{kE`t
ACKHOUSE	"{k%haUs
ACKLAND	"{kl@nd
ACKLES	"{k@lz
ACKLEY	"{kli
ACKLIN	"{klIn
ACKMAN	"{km@n
ACKNOWLEDGE	{k"nA:lIdZ
ACKNOWLEDGEABLE	{k"nA:lIdZ@b@l
ACKNOWLEDGED	{k"nA:lIdZd
ACKNOWLEDGEMENT	{k"nA:lIdZm@nt
ACKNOWLEDGEMENTS	{k"nA:lIdZm@nts
ACKNOWLEDGES	{k"nA:lIdZIz
ACKNOWLEDGING	{k"nA:lIdZIN
ACKNOWLEDGMENT	{k"nA:lIdZm@nt
ACKROYD	"{%krOId
ACKROYD'S	"{%krOIdz
ACMAT	"{km{t
ACMAT'S	"{km{ts
ACME	"{kmi
ACME'S	"{kmi:z
ACNE	"{kni
ACOCELLA	A:koU"tSEl@
ACOFF	"{kOf
ACOG	@"kOg
