!EXCLAMATION-POINT	ˌɛkskləˈmeɪʃənˌpɔɪnt
"CLOSE-QUOTE	ˈkloʊzˈkwoʊt
"DOUBLE-QUOTE	ˈdʌbəlˈkwoʊt
BECKWORTH'S	ˈbɛˌkwɝːθs
BECKY	ˈbɛki
BECNEL	ˈbɛknəl
BECO	ˈbiːkoʊ
BECOME	bɪˈkʌm
BECOMES	bɪˈkʌmz
BECOMING	bɪˈkʌmɪŋ
BECOR	ˈbɛˌkɔr
BECOR'S	ˈbɛˌkɔrz
BECRAFT	ˈbiːkræft
BECTON	ˈbɛktən
BECVAR	ˈbɛkvɝ
BED	ˈbɛd
BEDA	ˈbeɪdə
BEDARD	bɪˈdɑːrd
BEDBUG	ˈbɛdbəg
BEDBUGS	ˈbɛdbəgz
BEDCHAMBER	ˈbɛdˌtʃeɪmbɝ
BEDDED	ˈbɛdɪd
BEDDING	ˈbɛdɪŋ
BEDDINGFIELD	ˈbɛdɪŋˌfiːld
BEDDOE	ˈbɛdoʊ
BEDDORS	ˈbɛdɝz
BEDDOW	ˈbɛdoʊ
BEDE	ˈbiːd
BEDECK	bɪˈdɛk
BEDECKED	bɪˈdɛkt
BEDEL	bɪˈdɛl
BEDELL	ˈbɛdəl
BEDENBAUGH	ˈbɛdɪnbaʊ
BEDEVIL	bɪˈdɛvəl
BEDEVILED	bɪˈdɛvəld
BEDFELLOW	ˈbɛdˌfɛloʊ
BEDFELLOWS	ˈbɛdˌfɛloʊz
BEDFORD	ˈbɛdfɝd
BEDGOOD	ˈbɛdˌgʊd
BEDIENT	ˈbiːdjɪnt
BEDINGER	ˈbɛdɪŋɝ
BEDINGFIELD	ˈbɛdɪŋˌfiːld
BEDKE	ˈbɛdki
BEDLAM	ˈbɛdləm
BEDLINGTON	ˈbɛdlɪŋtən
BEDMINSTER	ˈbɛdmɪnstɝ
BEDNAR	ˈbɛdnɝ
BEDNARCZYK	ˈbɛdnɝtʃɪk
BEDNAREK	ˈbɛdnɑːrɛk
BEDNARIK	ˈbɛdnɑːrɪk
BEDNARSKI	ˈbɛdnɑːrski
BEDNARZ	ˈbɛdnɑːrz
BEDNER	ˈbɛdnɝ
BEDNORZ	ˈbɛdnɔrz
BEDOLLA	bɛˈdoʊlə
BEDORE	ˈbɛˌdɔr
BEDOUIN	ˈbɛdoʊən, ˈbɛduːˌɪn, ˈbɛdəwən
BEDOUINS	ˈbɛdoʊənz, ˈbɛduːˌɪnz, ˈbɛdəwənz
BEDOYA	beɪˈdɔɪə
BEDPAN	ˈbɛdˌpæn
BEDPANS	ˈbɛdˌpænz
BEDRAGGLE	bɪˈdrægəl
BEDRAGGLED	bɪˈdrægəld
BEDRIDDEN	ˈbɛˌdrɪdən
BEDROCK	ˈbɛˌdrɑːk
BEDROOM	ˈbɛˌdruːm
BEDROOMS	ˈbɛˌdruːmz
BEDROSIAN	bɛˈdrɑːʒɪn, bəˈdroʊziːən
BEDS	ˈbɛdz
BEDSAUL	ˈbɛdsɔl
BEDSIDE	ˈbɛdˌsaɪd
BEDSOLE	ˈbɛdˌsoʊl
BEDSPREAD	ˈbɛdˌsprɛd
BEDSTRAW	ˈbɛdˌstrɔ
BEDTIME	ˈbɛdˌtaɪm
BEDWELL	ˈbɛˌdwɛl
BEE	ˈbiː
BEE'S	ˈbiːz
BEEBA'S	ˈbiːbəz
BEEBE	ˈbiːˌbiː
BEEBE'S	ˈbiːˌbiːz
BEEBES	ˈbiːˌbiːz
BEEBOWER	ˈbiːˌboʊɝ, ˈbiːˌbaʊɝ
BEEBY	ˈbiːbi
BEECH	ˈbiːtʃ
BEECHAM	ˈbiːtʃəm
BEECHAM'S	ˈbiːtʃəmz
BEECHCRAFT	ˈbiːtʃˌkræft
BEECHER	ˈbiːtʃɝ
BEECHLER	ˈbiːtʃlɝ
BEECHWOOD	ˈbiːtʃˌwʊd
BEECHY	ˈbiːtʃi
BEECK	ˈbiːk
BEECROFT	ˈbiːˌkrɔft
BEEDE	ˈbiːd
BEEDIE	ˈbiːdi
BEEDLE	ˈbiːdəl
BEEDY	ˈbiːdi
BEEF	ˈbiːf
BEEFEATER	ˈbiːˌfiːtɝ
BEEFED	ˈbiːft
BEEFERMAN	ˈbiːfɝmən
BEEFING	ˈbiːfɪŋ
BEEFS	ˈbiːfs
BEEFSTEAK	ˈbiːfˌsteɪk
BEEFY	ˈbiːfi
BEEGHLY	ˈbiːgli
BEEGLE	ˈbiːgəl
BEEHIVE	ˈbiːˌhaɪv
BEEHLER	ˈbiːlɝ
BEEK	ˈbiːk
BEEKEEPER	ˈbiːˌkiːpɝ
BEEKEEPERS	ˈbiːˌkiːpɝz
BEEKEEPING	ˈbiːˌkiːpɪŋ
BEEKER	ˈbiːkɝ
BEEKMAN	ˈbiːkmən
BEEKS	ˈbiːks
BEEL	ˈbiːl
BEELER	ˈbiːlɝ
BEEM	ˈbiːm
BEEMAN	ˈbiːmən
BEEMER	ˈbiːmɝ
BEEN	ˈbɪn, bən, bɪn
BEENE	ˈbiːn
BEENEY	ˈbiːni
BEENKEN	ˈbiːŋkən
BEENS	ˈbɪnz
BEEP	ˈbiːp
BEEPED	ˈbiːpt
BEEPER	ˈbiːpɝ
BEEPERS	ˈbiːpɝz
BEEPING	ˈbiːpɪŋ
BEEPS	ˈbiːps
BEER	ˈbɪr
BEER'S	ˈbiːrz
BEERBOWER	ˈbɪrboʊɝ
BEERMAN	ˈbɪrmən
BEERS	ˈbɪrz
BEERS'	ˈbɪrz
BEERS'S	ˈbɪrzɪz
BEERY	ˈbɪri
BEES	ˈbiːz
BEESE	ˈbiːz
BEESLEY	ˈbiːzli
BEESON	ˈbiːzən
BEET	ˈbiːt
BEETHOVEN	ˈbeɪtoʊvən
BEETHOVEN'S	ˈbeɪtoʊvənz
BEETHOVENIAN	ˌbeɪtoʊˈviːniːən
BEETLE	ˈbiːtəl
BEETLEJUICE	ˈbiːtəlˌdʒuːs
BEETLES	ˈbiːtəlz
BEETON	ˈbiːtən
BEETS	ˈbiːts
BEEVER	ˈbiːvɝ
BEEVERS	ˈbiːvɝz
BEEZLEY	ˈbiːzli
BEFALL	bɪˈfɔl
BEFALLEN	bəˈfɑːlən
BEFALLS	bɪˈfɔlz
BEFALTO	bəˈfɑːltoʊ
BEFELL	bɪˈfɛl
BEFFA	ˌbɪˈfɑː
BEFIT	bɪˈfɪt
BEFITS	bɪˈfɪts
BEFITTING	bɪˈfɪtɪŋ
BEFORE	bɪˈfɔr, ˌbiːˈfɔr
BEFOREHAND	bɪˈfɔrˌhænd
BEFORT	ˈbɛfɝt
BEFRIEND	bɪˈfrɛnd
BEFRIENDED	bɪˈfrɛndɪd
BEFRIENDING	bɪˈfrɛndɪŋ
BEFRIENDS	bɪˈfrɛndz
BEFUDDLE	bɪˈfʌdəl
BEFUDDLED	bɪˈfʌdəld
BEFUDDLES	bɪˈfʌdəlz
BEG	ˈbɛg
BEGAJAH	bɛˈgɑːdʒə
BEGALA	bɛˈgɑːlə
BEGALA'S	bɛˈgɑːləz
BEGAN	bɪˈgæn, biːˈgæn
BEGAT	bɪˈgæt
BEGAY	ˈbɛgeɪ
BEGEL	ˈbeɪgəl
BEGELMAN	ˈbeɪgəlmən
BEGEMAN	ˈbiːgmən
BEGER	ˈbɛgɝ
BEGET	bɪˈgɛt
BEGETS	bɪˈgɛts
BEGETTING	bɪˈgɛtɪŋ
BEGG	ˈbɛg
BEGGAR	ˈbɛgɝ
BEGGARS	ˈbɛgɝz
BEGGED	ˈbɛgd
BEGGING	ˈbɛgɪŋ
BEGGS	ˈbɛgz
BEGHIN	ˈbɛgɪn
BEGIN	bɪˈgɪn
BEGIN'S	bɪˈgɪnz
BEGINNER	bɪˈgɪnɝ
BEGINNER'S	bɪˈgɪnɝz
BEGINNERS	bɪˈgɪnɝz
BEGINNING	bɪˈgɪnɪŋ
BEGINNINGS	bɪˈgɪnɪŋz
BEGINS	bɪˈgɪnz
BEGLEITER	ˈbɛˌglaɪtɝ
BEGLEITER'S	ˈbɛˌglaɪtɝz
BEGLEY	ˈbɛgli
BEGNAUD	bɪgˈnoʊ
BEGNOCHE	bɛgˈnoʊki
BEGONIA	bɪˈgoʊnjə
BEGONIAS	bɪˈgoʊnjəz
BEGOT	biːˈgɔt
BEGOTTEN	biːˈgɔtɪn
BEGRUDGE	bɪˈgrʌdʒ
BEGS	ˈbɛgz
BEGUE	ˈbeɪg
BEGUELIN	ˈbeɪgəlɪn
BEGUILE	bɪˈgaɪl
BEGUILED	bɪˈgaɪld
BEGUILING	bɪˈgaɪlɪŋ
BEGUN	bɪˈgʌn, ˈbeɪgən
BEHALF	bɪˈhæf
BEHAN	ˈbɛhən
BEHAR	ˈbɛhɝ
BEHAVE	bɪˈheɪv
BEHAVED	bɪˈheɪvd
BEHAVES	bɪˈheɪvz
BEHAVING	bɪˈheɪvɪŋ
BEHAVIOR	bɪˈheɪvjɝ
BEHAVIORAL	bɪˈheɪvjɝəl, biːˈheɪvjɝəl
BEHAVIORALLY	biːˈheɪvjɝəli
BEHAVIORIST	bɪˈheɪvjɝɪst
BEHAVIORISTS	bɪˈheɪvjɝɪsts
BEHAVIORS	bɪˈheɪvjɝz
BEHAVIOUR	bɪˈheɪvjɝ
BEHAVIOURS	bɪˈheɪvjɝz
BEHEAD	bɪˈhɛd, biːˈhɛd
BEHEADED	bɪˈhɛdɪd
BEHEADING	bɪˈhɛdɪŋ
BEHEADINGS	bɪˈhɛdɪŋz
BEHELD	biːˈhɛld
BEHELER	ˈbɛhəlɝ
BEHEMOTH	bəˈhiːməθ, ˈbiːhəməθ
BEHEMOTHS	bɪˈhiːməθs
BEHEST	bɪˈhɛst
BEHIND	bɪˈhaɪnd
BEHINDS	bɪˈhaɪndz
BEHL	ˈbɛl
BEHLE	ˈbɛhəl
BEHLER	ˈbɛlɝ
BEHLING	ˈbɛlɪŋ
BEHLKE	ˈbɛlk
BEHM	ˈbɛm
BEHMER	ˈbɛmɝ
BEHN	ˈbɛn
BEHNE	ˈbɛn
BEHNER	ˈbɛnɝ
BEHNEY	ˈbɛni
BEHNING	ˈbɛnɪŋ
BEHNKE	ˈbɛŋk
BEHNKEN	ˈbɛŋkən
BEHOF	ˈbiːhɑːf
BEHOFF	ˈbiːhɑːf
BEHOLD	bɪˈhoʊld
BEHOLDEN	bɪˈhoʊldən
BEHOLDER	biːˈhoʊldɝ
BEHOLDING	bɪˈhoʊldɪŋ
BEHOOVE	bɪˈhuːv
BEHOOVES	bɪˈhuːvz
BEHR	ˈbɛr
BEHREND	ˈbɛrɛnd
BEHRENDS	ˈbɛrɛndz
BEHRENDT	ˈbɛrɪnt
BEHRENS	ˈbɛrənz
BEHRING	ˈbɛrɪŋ
BEHRINGER	ˈbɛrɪŋɝ
BEHRINGWERKE	ˈbɛˌrɪŋwɝk
BEHRLE	ˈbɛrəl
BEHRMAN	ˈbɛrmən
BEHRMANN	ˈbɛrmən
BEHRNS	ˈbɛrnz
BEHUNIN	ˈbɛhənɪn
BEHYMER	ˈbɛˌhaɪmɝ
BEIDAIHE	ˌbaɪˈdeɪhi
BEIDLEMAN	ˈbaɪdəlmən
BEIDLER	ˈbaɪdəlɝ, ˈbaɪdlɝ
BEIER	ˈbaɪɝ
BEIERLE	ˈbaɪɝəl
BEIERSDORF	ˈbaɪrzˌdɔrf
BEIGE	ˈbeɪʒ
BEIGE'S	ˈbeɪʒəz
BEIGEL	ˈbaɪgəl
BEIGES	ˈbeɪʒəz
BEIGHLEY	ˈbeɪgli
BEIGHTOL	ˈbeɪtəl
BEIJER	ˈbaɪr
BEIJING	ˌbeɪˈʒɪŋ
BEIJING'S	ˌbeɪˈʒɪŋz
BEIL	ˈbiːl
BEILENSON	ˈbaɪlənsən
BEILER	ˈbaɪlɝ
BEILFUSS	ˈbaɪlfəs
BEILIN	ˈbɛlɪn, ˈbeɪlɪn
BEILKE	ˈbiːlk
BEILMAN	ˈbaɪlmən
BEIM	ˈbaɪm
BEIN	ˈbiːn
BEIN'	ˈbiːɪn
BEINE	ˈbiːn
BEING	ˈbiːɪŋ
BEING'S	ˈbiːɪŋz
BEINGS	ˈbiːɪŋz
BEINY	ˈbaɪni
BEIRA	ˈbeɪrə
BEIRNE	ˈbɪrn
BEIRUT	beɪˈruːt
BEIRUT'S	beɪˈruːts
BEISEL	ˈbaɪsəl
BEISER	ˈbaɪsɝ
BEISNER	ˈbaɪsnɝ
BEISSEL	ˈbaɪsəl
BEISWENGER	ˈbaɪswɪndʒɝ
BEIT	ˈbeɪt, ˈbaɪt
BEITEL	ˈbaɪtəl
BEITER	ˈbaɪtɝ
BEITLER	ˈbaɪtəlɝ, ˈbaɪtlɝ
BEITZ	ˈbiːts
BEITZEL	ˈbaɪtzəl
BEJAR	beɪˈjɑːr
BEJARANO	beɪjɑːˈrɑːnoʊ
BEKAA	bɛˈkɑː, bəˈkɑː
BEKAERT	bəˈkɛrt
BEKER	ˈbɛkɝ
BEKER'S	ˈbɛkɝz
BEKINS	ˈbiːkɪnz
BEKKER	ˈbɛkɝ
BEKKI	ˈbɛki
BEL	ˈbɛl
BEL'C	ˈbɛlk
BELA	ˈbɛlə
BELABOR	bɪˈleɪbɝ
BELABORED	bɪˈleɪbɝd
BELABORES	bɪˈleɪbɝz
BELABORING	bɪˈleɪbɝɪŋ
BELABORS	bɪˈleɪbɝz
BELADUR	ˌbɛləˈdʊr
BELADUR'S	ˌbɛləˈdʊrz
BELAFONTE	ˌbɛləˈfɑːnti
BELAIR	bɪˈlɛr, bɛˈlɛr
BELAIRE	bəˈlɛr
BELAK	ˈbɛlək
BELAND	ˈbɛlənd
BELANGER	ˈbɛləŋɝ
BELANOFF	ˈbɛlənɔf
BELARUS	ˌbɛlɑːˈrʊs
BELASCO	bɛˈlɑːskoʊ
BELATE	bɪˈleɪt
BELATED	bɪˈleɪtɪd
BELATEDLY	bɪˈleɪtədli
BELCASTRO	bɛlˈkæstroʊ
BELCH	ˈbɛltʃ
BELCHED	ˈbɛltʃt
BELCHER	ˈbɛltʃɝ
BELCHING	ˈbɛltʃɪŋ
BELCOURT	ˈbɛlˌkɔrt
BELDEN	ˈbɛldən
BELDIN	ˈbɛldɪn
BELDING	ˈbɛldɪŋ
BELDOCK	ˈbɛlˌdɑːk
BELDON	ˈbɛldən
BELEAGUER	bɪˈliːgɝ
BELEAGUERED	bɪˈliːgɝd
BELEAGUERING	bɪˈliːgɝɪŋ
BELEFIVILLE	bəˈlɛfəˌvɪl
BELEM	ˌbɛˈlɛm
BELEN	ˈbɛlən
BELET	ˈbɛlət
BELEW	ˈbɛluː
BELFAST	ˈbɛlˌfæst
BELFER	ˈbɛlfɝ
BELFIELD	ˈbɛlˌfiːld
BELFIORE	bɛlfiːˈɔri
BELFLOWER	ˈbɛlˌflaʊɝ
BELFORD	ˈbɛlfɝd
BELFRY	ˈbɛlfri
BELGACOM	ˈbɛlgəkɑːm, ˈbɛldʒəkɑːm
BELGARD	bɛlˈgɑːrd
BELGARDE	bɛlˈgɑːrdi
BELGE	ˈbɛldʒi
BELGER	ˈbɛlgɝ
BELGIAN	ˈbɛldʒən
BELGIANS	ˈbɛldʒənz
BELGIQUE	bɛlˈʒiːk
BELGIQUE'S	bɛlˈdʒiːks
BELGIUM	ˈbɛldʒəm
BELGIUM'S	ˈbɛldʒəmz
BELGO	ˈbɛlˌgoʊ
BELGRADE	ˈbɛlgreɪd, ˈbɛlˌgrɑːd
BELGRADE'S	ˈbɛlgreɪdz, ˈbɛlˌgrɑːdz
BELGRAVE	ˈbɛlˌgreɪv
BELI	ˈbɛli
BELICH	ˈbɛlɪk
BELIE	bɪˈlaɪ
BELIED	bɪˈlaɪd
BELIEF	bɪˈliːf
BELIEFS	bɪˈliːfs
BELIER	ˈbɛljɝ
BELIES	bɪˈlaɪz
BELIEVABILITY	bəˌliːvəˈbɪlɪti
BELIEVABLE	bəˈliːvəbəl
BELIEVE	bɪˈliːv
BELIEVED	bɪˈliːvd
BELIEVER	bɪˈliːvɝ
BELIEVERS	bɪˈliːvɝz
BELIEVES	bɪˈliːvz
BELIEVING	bɪˈliːvɪŋ
BELIGERENCE	bəˈlɪdʒɝəns
BELIGERENT	bəˈlɪdʒɝənt
BELIN	ˈbɛlɪn
BELINDA	bɛˈlɪndə
BELINSKY	bɛˈlɪnski
BELISLE	bɛˈlaɪəl
BELITTLE	bɪˈlɪtəl
BELITTLED	bɪˈlɪtəld
BELITTLES	bɪˈlɪtəlz
BELITTLING	bɪˈlɪtəlɪŋ, bɪˈlɪtlɪŋ
BELITZ	ˈbɛlɪts
BELIVEAU	ˈbɛlɪˌvoʊ
BELIZE	bɛˈliːz
BELK	ˈbɛlk
BELKA	ˈbɛlkə
BELKACEM	ˈbɛlkəsəm
BELKE	ˈbɛlk
BELKIN	ˈbɛlkɪn
BELKNAP	ˈbɛlnæp
BELKO	ˈbɛlkoʊ
BELL	ˈbɛl
BELL'S	ˈbɛlz
BELLA	ˈbɛlə
BELLAH	ˈbɛlə
BELLAMY	ˈbɛləmi
BELLANCA	bɛˈlɑːnkə
BELLAND	ˈbɛlənd
BELLANGER	ˈbɛˌlæŋgɝ
BELLANTE	bɛˈlɑːnti
BELLANTONI	bɛlɑːnˈtoʊni
BELLAR	ˈbɛlɝ
BELLARD	bɪˈlɑːrd
BELLAS	ˈbɛləz
BELLAVANCE	bɛˈlɑːvəns
BELLAVIA	bɛˈlɑːviːə
BELLAVISTA	ˌbɛləˈvɪstə
BELLBOY	ˈbɛlˌbɔɪ
BELLCORE	ˈbɛlˌkɔr
BELLCORE'S	ˈbɛlˌkɔrz
BELLE	ˈbɛl
BELLEAU	bɪˈloʊ
BELLEFEUILLE	ˌbɛləfiːˈuːl
BELLEMARE	ˌbɛləˈmɛr
BELLER	ˈbɛlɝ
BELLEROSE	ˈbɛlɝəz
BELLES	ˈbɛlz
BELLEVILLE	bəlˈvɪl
BELLEVUE	ˈbɛlvˌjuː
BELLEW	bɪˈluː
BELLFLOWER	ˈbɛlˌflaʊɝ
BELLFLOWERS	ˈbɛlˌflaʊɝz
BELLHOP	ˈbɛlˌhɑːp
BELLHOPS	ˈbɛlˌhɑːps
BELLI	ˈbɛli
BELLICOSE	ˈbɛləˌkoʊs
BELLIED	ˈbɛliːd
BELLIES	ˈbɛliːz
BELLIGERENCE	bəˈlɪdʒɝəns
BELLIGERENT	bəˈlɪdʒɝənt
BELLIGERENTS	bəˈlɪdʒɝənts
BELLIN	ˈbɛlɪn
BELLINA	bɛˈliːnə
BELLING	ˈbɛlɪŋ
BELLINGER	ˈbɛlɪŋɝ
BELLINGHAM	ˈbɛlɪŋˌhæm
BELLINGHAUSEN	ˈbɛlɪŋˌhaʊzən
BELLINI	bɛˈliːni
BELLINI'S	bɛˈliːniːz
BELLINO	bɛˈliːnoʊ
BELLIS	ˈbɛlɪs
BELLISSIMO	bɛliːˈsiːmoʊ
BELLIVEAU	ˈbɛlɪˌvoʊ
BELLIZZI	bɛˈliːtsi
BELLM	ˈbɛlm
BELLMAN	ˈbɛlmən
BELLMON	ˈbɛlmən
BELLMORE	ˈbɛlmɔr
BELLO	ˈbɛloʊ
BELLOMO	bɛˈloʊmoʊ
BELLOMY	ˈbɛləmi
BELLON	ˈbɛlən
BELLONE	bɛˈloʊni
BELLOTTI	bɛˈloʊti
BELLOW	ˈbɛloʊ
BELLOW'S	ˈbɛloʊz
BELLOWED	ˈbɛloʊd
BELLOWING	ˈbɛloʊɪŋ
BELLOWS	ˈbɛloʊz
BELLROSE	ˈbɛlˌroʊz
BELLS	ˈbɛlz
BELLS'	ˈbɛlz
BELLSOUTH	ˈbɛlˌsaʊθ
BELLSOUTH'S	ˈbɛlˌsaʊθs
BELLUCCI	bɛˈluːtʃi
BELLUM	ˈbɛləm
BELLUOMINI	ˌbɛlwoʊˈmiːni
BELLVILLE	ˈbɛlˌvɪl
BELLWETHER	ˈbɛlˌwɛðɝ
BELLWETHERS	ˈbɛlˌwɛðɝz
BELLWOOD	ˈbɛlˌwʊd
BELLY	ˈbɛli
BELLYACHE	ˈbɛliːˌeɪk
BELLYACHING	ˈbɛˌliːˈeɪˌkɪŋ
BELMAN	ˈbɛlmən
BELMONT	ˈbɛlˌmɑːnt
BELMONTE	bɛlˈmɑːnti
BELMORE	ˈbɛlmɔr
BELNAP	ˈbɛlˌnæp
BELNICK	ˈbɛlnɪk
BELO	ˈbɛloʊ
BELOFF	ˈbɛˌlɔf
BELOIT	bɪˈlɔɪt
BELONG	bɪˈlɔŋ
BELONGED	bɪˈlɔŋd
BELONGIA	bɛˈloʊndʒə
BELONGING	bɪˈlɔŋɪŋ
BELONGINGS	bɪˈlɔŋɪŋz
BELONGS	bɪˈlɔŋz
BELOTE	bɛˈloʊti
BELOUS	ˈbɛləs
BELOV	ˈbɛlɑːv
BELOVE	bɪˈlʌv
BELOVED	bɪˈlʌvd, bɪˈlʌvəd
BELOW	bɪˈloʊ, biːˈloʊ
BELS	ˈbɛlz
BELSER	ˈbɛlsɝ
BELSHAW	ˈbɛlˌʃɔ
BELSHE	ˈbɛlʃ
BELSITO	bɛlˈsiːtoʊ
BELSKY	ˈbɛlski
BELSON	ˈbɛlsən
BELT	ˈbɛlt
BELT'S	ˈbɛlts
BELTED	ˈbɛltəd, ˈbɛltɪd
BELTER	ˈbɛltɝ
BELTH	ˈbɛlθ
BELTING	ˈbɛltɪŋ
BELTON	ˈbɛltən
BELTRAM	ˈbɛlˌtræm
BELTRAN	ˈbɛltrən
BELTS	ˈbɛlts
BELTSVILLE	ˈbɛltsˌvɪl
BELTWAY	ˈbɛlˌtweɪ
BELTZ	ˈbɛlts
BELUE	ˈbɛljuː
BELUGA	bɪˈluːgə
BELUSHI	bɛˈluːʃi
BELVA	ˈbeɪlvə
BELVEAL	ˈbɛlvəl
BELVEDERE	ˌbɛlvəˈdɪr, ˌbɛlvɪˈdɪr
BELVIA	ˈbɛlviːə
BELVIDERE	ˈbɛlvɪˌdɪr
BELVILLE	ˈbɛlˌvɪl
BELVIN	ˈbɛlvɪn
BELVOIR	bɛlvˈwɑːr
BELY	bəˈlaɪ
BELYEA	bɛˈliːə
BELYEU	ˌbɛliːˈuː
BELYING	bɪˈlaɪɪŋ
BELZ	ˈbɛlz
BELZBERG	ˈbɛltsbɝg
BELZBERGS	ˈbɛltsbɝgz
BELZBERGS'	ˈbɛlzbɝgz
BELZER	ˈbɛlzɝ
BEM	ˈbɛm
BEMAN	ˈbiːmən
BEMBENEK	ˈbɛmbɪnək
BEMBRY	ˈbɛmbri
BEMENT	ˈbiːmənt
BEMIDJI	bəˈmɪddʒi
BEMIS	ˈbiːməs
BEMISS	ˈbɛmɪs
BEMOAN	bɪˈmoʊn
BEMOANED	bɪˈmoʊnd
BEMOANING	bɪˈmoʊnɪŋ
BEMOANS	bɪˈmoʊnz
BEMUSE	bɪˈmjuːz
BEMUSED	bɪˈmjuːzd
BEMUSEMENT	ˈbɛmjuːsmənt
BEN	ˈbɛn
BEN'S	ˈbɛnz
BENA	ˈbɛnə
BENACKOVA	ˌbɛnəˈkoʊvə
BENAK	ˈbɛnək
BENAMI	ˌbɛnəˈmiː
BENANTY	bɛˈnɑːnti
BENARD	bɪˈnɑːrd
BENASSI	bɛˈnɑːsi
BENASULI	ˌbɛnəˈsuːli
BENATAR	ˈbɛnətɝ
BENAVENTE	bɛnɑːˈvɛnti
BENAVIDES	beɪnɑːˈviːdɛs
BENAVIDEZ	beɪnɑːˈviːdɛz
BENAZIR	ˈbɛnəˌzɪr
BENBOW	ˈbɛnboʊ
BENBROOK	ˈbɛnˌbrʊk
BENCE	ˈbɛns
BENCH	ˈbɛntʃ
BENCHER	ˈbɛntʃɝ
BENCHERS	ˈbɛntʃɝz
BENCHES	ˈbɛntʃɪz
BENCHLEY	ˈbɛntʃli
BENCHMARK	ˈbɛntʃˌmɑːrk
BENCHMARK'S	ˈbɛntʃˌmɑːrks
BENCHMARKS	ˈbɛntʃˌmɑːrks
BENCIVENGA	bɛntʃiːˈvɛŋgə
BENCOMO	bɛnˈkoʊmoʊ
BENCSIK	ˈbɛŋksɪk
BEND	ˈbɛnd
BENDA	ˈbɛndə
BENDALL	ˈbɛndəl
BENDECTIN	bɛnˈdɛktɪn
BENDED	ˈbɛndɪd
BENDEL	ˈbɛndəl, ˌbɛnˈdɛl
BENDELE	ˈbɛndəl
BENDER	ˈbɛndɝ
BENDER'S	ˈbɛndɝz
BENDERS	ˈbɛndɝz
BENDICK	ˈbɛndɪk
BENDICKSON	ˈbɛndɪksən
BENDIG	ˈbɛndɪg
BENDING	ˈbɛndɪŋ
BENDIX	ˈbɛndɪks
BENDIXEN	bɪnˈdɪksən
BENDLER	ˈbɛndlɝ
BENDORF	ˈbɛndɔrf
BENDS	ˈbɛndz
BENDT	ˈbɛnt
BENDURE	beɪnˈdʊreɪ
BENE	ˈbɛnə
BENEATH	bɪˈniːθ
BENECKE	ˈbɛnək
BENEDEK	ˈbɛnədɪk
BENEDETTI	ˌbɛnəˈdɛti
BENEDETTI'S	ˌbɛnəˈdɛtiːz
BENEDETTO	bɪnəˈdɛtoʊ
BENEDICK	ˈbɛnədɪk
BENEDICT	ˈbɛnəˌdɪkt
BENEDICTA	ˈbɛnədiːktə
BENEDICTINE	ˌbɛnəˈdɪktiːn
BENEDICTINE'S	ˌbɛnəˈdɪktiːnz
BENEDICTINES	ˌbɛnəˈdɪktiːnz
BENEDICTION	ˌbɛnəˈdɪkʃən
BENEDIKT	ˈbɛnədɪkt
BENEDIX	ˈbɛnədɪks
BENEFACTOR	ˈbɛnəˌfæktɝ
BENEFACTOR'S	ˈbɛnəˌfæktɝz
BENEFACTORS	ˈbɛnəˌfæktɝz
BENEFICENCE	bəˈnɛfəsəns
BENEFICENT	ˌbɛnəˈfɪʃənt
BENEFICIAL	ˌbɛnəˈfɪʃəl
BENEFICIAL'S	ˌbɛnəˈfɪʃəlz
BENEFICIALLY	ˌbɛnəˈfɪʃəli
BENEFICIARIES	ˌbɛnəˈfɪʃiːˌɛriːz
BENEFICIARY	ˌbɛnəˈfɪʃiːˌɛri
BENEFICIARY'S	ˌbɛnəˈfɪʃiːˌɛriːz
BENEFIEL	ˈbɛnəfiːl
BENEFIELD	ˈbɛnəfiːld
BENEFIT	ˈbɛnəfɪt
BENEFITED	ˈbɛnəˌfɪtɪd
BENEFITING	ˈbɛnəfɪtɪŋ
BENEFITS	ˈbɛnəfɪts
BENEFITTED	ˈbɛnəfɪtɪd
BENEFITTING	ˈbɛnəfɪtɪŋ
BENEKE	ˈbɛnək
BENEL	ˈbɛnəl
BENELUX	ˈbɛnələks
BENENATI	bɪnəˈnɑːti
BENEQUITY	ˌbɛˈnɛkwəti
BENES	ˈbɛniːs
BENESCH	ˈbɛnəʃ
BENESH	ˈbɛnəʃ
BENET	ˈbɛnət, bəˈneɪ
BENET'S	ˈbɛnəts, bəˈneɪz
BENETTI	bɛˈnɛti
BENETTON	ˈbɛnətən, ˈbɛnətɔn
BENETTON'S	ˈbɛnətənz, ˈbɛnətɔnz
BENEVENTO	ˈbɛnəveɪntoʊ
BENEVIDES	ˈbɛnəviːdɛs
BENEVOLENCE	bəˈnɛvələns
BENEVOLENCES	bəˈnɛvələnsɪz
BENEVOLENT	bəˈnɛvələnt
BENEZRA	ˈbɛnəzrə
BENFER	ˈbɛnfɝ
BENFIELD	ˈbɛnfiːld
BENFORD	ˈbɛnfɝd
BENGAL	ˈbɛŋgəl
BENGALI	bɛŋˈgɑːli
BENGALIS	bɛŋˈgɑːliːz
BENGALS	ˈbɛŋgəlz
BENGE	ˈbɛndʒ
BENGEL	ˈbɛŋgəl
BENGOECHEA	ˌbɛŋgoʊɛˈtʃiːə, ˌbɛŋgoʊˈtʃiːə
